Article,Summary,Authors,Date,Access,Figure,Link paper,TCR,BCR,T CELL,B CELL,NKC,CD4,CD8,DEEP LEARNING,MACHINE LEARNING,ML,DL,CNN,LSTM,HLA
TREML4 receptor regulates inflammation and innate immune cell death during polymicrobial sepsis,"Sepsis is a biphasic disease characterized by an initial inflammatory phase, followed by a prolonged immunosuppression phase. Puthalakath and colleagues utilize a CRISPR-mediated mutagenesis screen to identify TREML4 as a regulator of sepsis-induced immunosuppression.",Christina NedevaJoseph MenassaHamsa Puthalakath,05 Oct 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-0789-z/MediaObjects/41590_2020_789_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-0789-z,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Migration-induced cell shattering due to DOCK8 deficiency causes a type 2–biased helper T cell response,"Humans with inherited defects in DOCK8 expression are prone to allergic, type 2 CD4+ T cell responses. Mandl and colleagues reveal an important role for cell death in driving such type 2 signals during infection.",Caitlin SchneiderConnie ShenJudith N. Mandl,05 Oct 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-0795-1/MediaObjects/41590_2020_795_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-0795-1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Disturbed mitochondrial dynamics in CD8+ TILs reinforce T cell exhaustion,Ho and colleagues report that mitochondrial dysfunction and impaired mitophagy triggered by the tumor microenvironment lead to subsequent epigenetic changes and cause permanent T cell exhaustion and dysfunction.,Yi-Ru YuHana ImrichovaPing-Chih Ho,05 Oct 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-0793-3/MediaObjects/41590_2020_793_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-0793-3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SARS-CoV-2-derived peptides define heterologous and COVID-19-induced T cell recognition,SARS-CoV-2-specific CD4+ and CD8+ T cell epitopes are found in both convalescent patients and virus-naive volunteers and are indicative of heterologous recognition shared with seasonal cold viruses.,Annika NeldeTatjana BilichJuliane S. Walz,30 Sept 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-00808-x/MediaObjects/41590_2020_808_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-00808-x,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Strength of tonic T cell receptor signaling instructs T follicular helper cell–fate decisions,"The pathways controlling T follicular helper (TFH) cell development are only partially understood. Allen and colleagues demonstrate the importance of the T cell receptor, with low tonic signaling promoting TFH cell development and high tonic signaling opposing it.",Juliet M. BartlesonAshley A. Viehmann MilamPaul M. Allen,28 Sept 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-0781-7/MediaObjects/41590_2020_781_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-0781-7,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Interleukin-33 activates regulatory T cells to suppress innate γδ T cell responses in the lung,"Luster and colleagues show that Treg cells that reside in lung mucosa can respond to IL-33 upon allergen exposure and suppress innate cell responses. IL-33-activated ST2+ Treg cells secrete IL-35, which suppresses IL-17 production by γδ T cells and lessens eosinophil recruitment into the lung.",Lucas D. FaustinoJason W. GriffithAndrew D. Luster,28 Sept 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-0785-3/MediaObjects/41590_2020_785_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-0785-3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BATF3 programs CD8+ T cell memory,"BATF3 is a member of the AP-1 transcription factor family. Kastenmüller and colleagues show that BATF3 is needed to promote memory CD8+ T cell responses. Activated CD8+ T cells transiently upregulate BATF3, which in turn suppresses expression of proapoptotic BIM to promote cell survival.",Marco A. AtaideKarl KomanderWolfgang Kastenmüller,28 Sept 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-0786-2/MediaObjects/41590_2020_786_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-0786-2,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Lung mesenchymal cells elicit lipid storage in neutrophils that fuel breast cancer lung metastasis,"Phagocytes can acquire lipids and this modulates their function in a variety of disease states, such as atherosclerosis. Ren and colleagues demonstrate that neutrophils accumulate lipids and deliver them to tumor cells, which supports their proliferation, survival and metastasis.",Peishan LiMing LuGuangwen Ren,21 Sept 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-0783-5/MediaObjects/41590_2020_783_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-0783-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A regulatory T cell Notch4–GDF15 axis licenses tissue inflammation in asthma,"Dysregulation of lung Treg cell function contributes to asthma development. Chatila and colleagues find that allergens upregulate Notch4–Hippo–Wnt signaling in Treg cells, triggering their release of GDF15 growth factor, which drives type 2 innate lymphoid cell activity and asthma.",Hani HarbEmmanuel Stephen-VictorTalal A. Chatila,14 Sept 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-0777-3/MediaObjects/41590_2020_777_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-0777-3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Meningeal γδ T cells regulate anxiety-like behavior via IL-17a signaling in neurons,IL-17a is an evolutionarily conserved cytokine with behavior-modulating roles in the central nervous system. Kipnis and colleagues characterize a population of meningeal γδ17 T cells that use IL-17a to elicit anxiety-like behavior through cortical glutamatergic neurons.,Kalil Alves de LimaJustin RustenhovenJonathan Kipnis,14 Sept 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-0776-4/MediaObjects/41590_2020_776_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-0776-4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
A dynamic CD2-rich compartment at the outer edge of the immunological synapse boosts and integrates signals,"The adhesion receptor CD2 plays an important role in the full activation of T cells. Dustin and colleagues show that CD2 occupies a region in the periphery of the immunological synapse where it amplifies cognate antigen signals, whereas the presence of PD-1 disrupts this effect.",Philippos DemetriouEnas Abu-ShahMichael L. Dustin,14 Sept 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-0770-x/MediaObjects/41590_2020_770_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-0770-x,1,0,1,0,0,0,1,0,0,0,0,0,0,0
Limited proliferation capacity of aortic intima resident macrophages requires monocyte recruitment for atherosclerotic plaque progression,"Williams and colleagues investigate the origin, dynamics and transcriptional profiles of aortic intima macrophages during atherosclerosis disease progression.",Jesse W. WilliamsKonstantin ZaitsevGwendalyn J. Randolph,07 Sept 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-0768-4/MediaObjects/41590_2020_768_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-0768-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Broad and strong memory CD4+ and CD8+ T cells induced by SARS-CoV-2 in UK convalescent individuals following COVID-19,"Questions have arisen as to whether patients with severe COVID-19 disease can generate a T cell response against SARS-CoV-2. Tao Dong and colleagues report that convalescent patients with COVID-19 harbor functional memory CD4+ and CD8+ T cells that recognize multiple epitopes that span the viral proteome. CD4+ T cells predominated the memory response in patients with severe disease, whereas higher proportions of CD8+ T cells were found in patients with mild disease.",Yanchun PengAlexander J. MentzerTao Dong,04 Sept 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-0782-6/MediaObjects/41590_2020_782_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-0782-6,0,0,1,0,0,1,1,0,0,0,0,0,0,0
NR4A nuclear receptors restrain B cell responses to antigen when second signals are absent or limiting,"Antigen-activated B cells are short lived in the absence of a second signal provided by CD4+ T cells or cytokines. Zikherman and colleagues report that the NR4A family of nuclear receptors (NUR77 and NOR-1) are responsible for enforcing this ‘tolerance’ to self-antigen (signal 1 only) and explain, in part, why B cells are dependent upon a second signal.",Corey TanRyosuke HiwaJulie Zikherman,31 Aug 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-0765-7/MediaObjects/41590_2020_765_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-0765-7,0,0,1,1,0,0,1,0,0,0,1,0,0,0
Dynamic regulation of hypoxia-inducible factor-1α activity is essential for normal B cell development,B cell development and selection occur in the often hypoxic environment of the bone marrow. Burrows and colleagues demonstrate that dynamic regulation of B cell–intrinsic hypoxia-inducible factor-1α is essential for normal B cell development and function.,Natalie BurrowsRachael J. M. Bashford-RogersPatrick H. Maxwell,31 Aug 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-0772-8/MediaObjects/41590_2020_772_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-0772-8,0,1,0,1,0,0,0,0,0,0,1,0,0,0
The PD-1 expression balance between effector and regulatory T cells predicts the clinical efficacy of PD-1 blockade therapies,"Checkpoint blockade is effective in only a subset of patients; therefore, biomarkers that can predict efficacy would be clinically highly valuable. Nishkawa and colleagues develop a biomarker based on PD-1 positivity of effector and regulatory T cells in the tumor microenvironment that accurately predicts the effectiveness of checkpoint blockade in patients.",Shogo KumagaiYosuke TogashiHiroyoshi Nishikawa,31 Aug 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-0769-3/MediaObjects/41590_2020_769_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-0769-3,0,0,1,0,0,0,1,0,0,0,0,0,0,0
The NK cell granule protein NKG7 regulates cytotoxic granule exocytosis and inflammation,NKG7 is a molecule well associated with NK cells but of unknown function. Engwerda and colleagues demonstrate that NKG7 is also associated with TH1 cells and is essential for type I and cytotoxic responses.,Susanna S. NgFabian De Labastida RiveraChristian R. Engwerda,24 Aug 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-0758-6/MediaObjects/41590_2020_758_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-0758-6,0,0,1,0,0,1,1,0,0,0,0,0,0,0
Fibroblasts as a source of self-antigens for central immune tolerance,Takayanagi and colleagues show that thymic medullary fibroblasts can contribute to central tolerance mechanisms by expressing cell-type-specific antigens distinct from those expressed by medullary thymic epithelial cells.,Takeshi NittaMasanori TsutsumiHiroshi Takayanagi,24 Aug 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-0756-8/MediaObjects/41590_2020_756_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-0756-8,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SARS-CoV-2 infection of human ACE2-transgenic mice causes severe lung inflammation and impaired function,Diamond and colleagues generate a K18-hACE2 model of SARS-CoV-2 infection that shares many features of severe COVID-19 infection and can be used to define the basis of lung disease and test immune and antiviral-based countermeasures.,Emma S. WinklerAdam L. BaileyMichael S. Diamond,24 Aug 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-0778-2/MediaObjects/41590_2020_778_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-0778-2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Early precursor T cells establish and propagate T cell exhaustion in chronic infection,The developmental timing for exhaustion is still obscure. Kallies and colleagues demonstrate that CD8+ T cell ‘exhaustion’ actually begins in the less-differentiated TCF1+ ‘precursor’ T cell pool during chronic viral infections.,Daniel T. UtzschneiderSarah S. GabrielAxel Kallies,24 Aug 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-0760-z/MediaObjects/41590_2020_760_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-0760-z,0,0,1,0,0,0,1,0,0,0,0,0,0,0
The angiocrine Rspondin3 instructs interstitial macrophage transition via metabolic–epigenetic reprogramming and resolves inflammatory injury,The angiocrine Rspondin3 is produced by endothelial cells (ECs) and controls growth and development. Malik and colleagues show that lung ECs produce Rspondin3 following injury and specifically direct interstitial macrophages into an anti-inflammatory and wound-healing program.,Bisheng ZhouLissette MaganaAsrar B. Malik,24 Aug 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-0764-8/MediaObjects/41590_2020_764_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-0764-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Basophils prime group 2 innate lymphoid cells for neuropeptide-mediated inhibition,Siracusa and colleagues reveal a regulatory role for basophils in the context of anti-helminth immunity and identify the neuropeptide neuromedin B as a potent inhibitor of type 2 inflammation.,Juan M. Inclan-RicoJohn J. PonessaMark C. Siracusa,17 Aug 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-0753-y/MediaObjects/41590_2020_753_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-0753-y,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL-1 induces mitochondrial translocation of IRAK2 to suppress oxidative metabolism in adipocytes,"Obesity is often accompanied by chronic inflammation. Li and colleagues show that, in mice fed high-fat diets, IL-1 signaling in adipocytes induces an unconventional IRAK2 translocation to mitochondria and suppresses respiratory super-complex formation to alter mitochondrial function, and exacerbates obesity.",Hao ZhouHan WangXiaoxia Li,10 Aug 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-0750-1/MediaObjects/41590_2020_750_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-0750-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mitochondrial DNA drives abscopal responses to radiation that are inhibited by autophagy,Autophagy controls cellular homeostasis and influences immune responses. Galluzzi and colleagues show that tumor cell autophagy opposes inflammatory cell death following radiation therapy and can be inhibited to enhance antitumor responses.,Takahiro YamazakiAlexander KirchmairLorenzo Galluzzi,03 Aug 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-0751-0/MediaObjects/41590_2020_751_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-0751-0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Follicular helper T cell profiles predict response to costimulation blockade in type 1 diabetes,"The CTLA-4–Ig fusion protein (abatacept) can have beneficial effects in autoimmune disease. Walker and colleagues show in mouse and human type 1 diabetes that abatacept targets pathogenic follicular helper T cells, and the frequencies of these cells at baseline can be used to stratify treatment responses in patients.",Natalie M. EdnerFrank HeutsLucy S. K. Walker,03 Aug 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-0744-z/MediaObjects/41590_2020_744_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-0744-z,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ILC2-driven innate immune checkpoint mechanism antagonizes NK cell antimetastatic function in the lung,Pathological group 2 innate lymphoid cells (ILC2s) have mainly been implicated in allergy. Halim and colleagues demonstrate that ILC2s orchestrate a prometastatic pathway via the recruitment of eosinophils that suppress NK cell function.,Martijn J. SchuijsShaun PngTimotheus Y. F. Halim,03 Aug 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-0745-y/MediaObjects/41590_2020_745_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-0745-y,0,0,0,0,0,0,0,0,0,0,0,0,0,0
In situ neutrophil efferocytosis shapes T cell immunity to influenza infection,Kim and colleagues provide new insights into the function and fate of neutrophils during influenza infection and their roles in antiviral T cell responses.,Kihong LimTae-hyoun KimMinsoo Kim,03 Aug 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-0746-x/MediaObjects/41590_2020_746_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-0746-x,0,0,1,0,0,0,1,0,0,0,0,0,0,0
The transcription factor BCL-6 controls early development of innate-like T cells,Verykokakis and colleagues show that the transcription factor BCL-6 is highly expressed in stage 0 NKT and is absolutely required for innate T cell lineage development. BCL-6 acts to modify the chromatin landscape and is needed to promote the ST0–ST1 transition and PLZF expression.,Marianthi GioulbasaniAlexandros GalarasMihalis Verykokakis,27 Jul 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-0737-y/MediaObjects/41590_2020_737_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-0737-y,0,0,1,0,0,0,0,0,0,0,0,0,0,0
STEEP mediates STING ER exit and activation of signaling,"STING ER exit is the rate-limiting step in STING signaling, but the mechanism that drives this process is not understood. Paludan and colleagues identify CxORF56, called STEEP here, as a positive regulator of STING signaling.",Bao-cun ZhangRamya NandakumarSøren R. Paludan,20 Jul 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-0730-5/MediaObjects/41590_2020_730_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-0730-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The activation trajectory of plasmacytoid dendritic cells in vivo during a viral infection,"Plasmacytoid dendritic cells (pDCs) are a major source of type I interferon (IFN-I). Dalod and colleagues show that IFN-I production and T cell activation were performed by the same pDC, but these occurred sequentially and in different micro-anatomical locations during virus infection.",Abdenour AbbasThien-Phong Vu ManhElena Tomasello,20 Jul 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-0731-4/MediaObjects/41590_2020_731_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-0731-4,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Noncanonical binding of Lck to CD3ε promotes TCR signaling and CAR function,How Lck is recruited to the TCR to initiate signaling is not well known. Here Minguet and colleagues report a previously unknown binding motif in the CD3ε cytoplasmic tail that interacts in a noncanonical mode with the Lck SH3 domain that may help to improve TCR activation and the antitumor activity of a clinically approved CAR.,Frederike A. HartlEsmeralda Beck-GarcìaSusana Minguet,20 Jul 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-0732-3/MediaObjects/41590_2020_732_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-0732-3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Neuropilin-1 is a T cell memory checkpoint limiting long-term antitumor immunity,T cell exhaustion limits antitumor immune responses. Vignali and colleagues identify neuropilin-1 as a novel immune checkpoint that cell-intrinsically operates to limit memory cell formation and can be targeted to enhance antitumor responses.,Chang LiuAshwin SomasundaramDario A. A. Vignali,13 Jul 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-0733-2/MediaObjects/41590_2020_733_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-0733-2,0,0,1,0,0,1,1,0,0,0,0,0,0,0
The commensal skin microbiota triggers type I IFN–dependent innate repair responses in injured skin,"Gilliet and colleagues demonstrate that skin wound healing occurs through the coordinated action of plasmacytoid dendritic cells, chemokines and skin microbiota.",Jeremy Di DomizioCyrine BelkhodjaMichel Gilliet,13 Jul 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-0721-6/MediaObjects/41590_2020_721_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-0721-6,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Impaired mitochondrial oxidative phosphorylation limits the self-renewal of T cells exposed to persistent antigen,"Thompson and colleagues show that repetitive antigenic stimulation within the tumor environment triggers mitochondrial dysfunction by inhibiting oxidative phosphorylation, which leads to T cell exhaustion.",Santosha A. VardhanaMadeline A. HweeCraig B. Thompson,13 Jul 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-0725-2/MediaObjects/41590_2020_725_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-0725-2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tissue-resident memory CD8+ T cells shape local and systemic secondary T cell responses,"Van Gisbergen and colleagues show that tissue-resident memory T cells, genetically marked in Hobit reporter mice, can exit tissues upon reinfection and contribute to systemic memory responses.",Felix M. BehrLoreto Parga-VidalKlaas P. J. M. van Gisbergen,13 Jul 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-0723-4/MediaObjects/41590_2020_723_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-0723-4,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Dynamics in protein translation sustaining T cell preparedness,Geiger and colleagues use SILAC and mass spectrometry to study protein turnover in human T cells and examine how naive T cells maintain their quiescence and transition to activated cells.,Tobias WolfWenjie JinRoger Geiger,06 Jul 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-0714-5/MediaObjects/41590_2020_714_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-0714-5,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Chd4 choreographs self-antigen expression for central immune tolerance,"Takayanagi and colleagues show that the chromatin remodeler Chd4 works with both Fezf2 and Aire to promote promiscuous tissue-restricted antigen expression in medullary thymic epithelial cells, mediating central tolerance in the thymus.",Yoshihiko TomofujiHiroyuki TakabaHiroshi Takayanagi,29 Jun 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-0717-2/MediaObjects/41590_2020_717_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-0717-2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ancient familial Mediterranean fever mutations in human pyrin and resistance to Yersinia pestis,Familial Mediterranean fever is an autoinflammatory disease caused by gain-of-function mutations in the pyrin inflammasome. Kastner and colleagues show that mutant pyrin better resists suppression by the plague bacterium Yersinia pestis and may have been positively selected in human Middle Eastern populations.,Yong Hwan ParkElaine F. RemmersJae Jin Chae,29 Jun 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-0705-6/MediaObjects/41590_2020_705_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-0705-6,0,0,0,0,0,0,0,0,0,0,1,0,0,0
The transcription factor Hhex cooperates with the corepressor Tle3 to promote memory B cell development,Generation of memory B cells is crucial for protective immunity to infectious agents. Cyster and colleagues show that the transcription factor Hhex interacting with Tle3 promotes memory B cell generation.,Brian J. LaidlawLihui DuanJason G. Cyster,29 Jun 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-0713-6/MediaObjects/41590_2020_713_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-0713-6,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Serum amyloid A is a soluble pattern recognition receptor that drives type 2 immunity,"Smole and colleagues show that the soluble pattern recognition receptor serum amyloid A (SAA) recognizes several mite allergenic proteins, including Der p 13 and Blo t 13, which are conserved fatty acid-binding proteins. Such FABP–SAA1 binding triggers epithelial cell release of the type-2-promoting cytokine IL-33, which in turn drives IL-13 production and allergic syptoms.",Ursula SmoleNaina GourMarsha Wills-Karp,22 Jun 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-0698-1/MediaObjects/41590_2020_698_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-0698-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bcl-6 is the nexus transcription factor of T follicular helper cells via repressor-of-repressor circuits,Bcl-6 is the signature transcription factor for TFH cells. Crotty and colleagues provide a comprehensive transcriptional map depicting the regulatory circuitry controlled by Bcl-6 in determining TFH cell fate and function.,Jinyong ChoiHuitian DiaoShane Crotty,22 Jun 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-0706-5/MediaObjects/41590_2020_706_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-0706-5,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Tet2 and Tet3 in B cells are required to repress CD86 and prevent autoimmunity,"Ten–eleven translocation (Tet) enzymes oxidize 5-methylcytosine, facilitating DNA demethylation. Kurosaki and colleagues show that B cell–specific loss of Tet2 and Tet3 leads to lupus-like autoimmunity in mice, in part through increased B cell expression of CD86 and enhanced activation of CD4+ T cells.",Shinya TanakaWataru IseTomohiro Kurosaki,22 Jun 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-0700-y/MediaObjects/41590_2020_700_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-0700-y,0,0,1,1,0,0,1,0,0,0,0,0,0,0
Peripherally induced brain tissue–resident memory CD8+ T cells mediate protection against CNS infection,Harty and colleagues show that peripheral infections can establish and maintain functional antigen-specific tissue-resident memory CD8+ T cells in the central nervous system.,Stina L. UrbanIsaac J. JensenJohn T. Harty,22 Jun 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-0711-8/MediaObjects/41590_2020_711_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-0711-8,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Guanylate-binding proteins convert cytosolic bacteria into caspase-4 signaling platforms,How lipopolysaccharide embedded in bacterial membranes is sensed by intracellular defense mechanisms has been puzzling. Randow and colleagues show that guanylate-binding proteins assemble on the surface of Gram-negative bacteria to initiate downstream pyroptosis.,Michal P. WandelBae-Hoon KimFelix Randow,15 Jun 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-0697-2/MediaObjects/41590_2020_697_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-0697-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Redox homeostasis maintained by GPX4 facilitates STING activation,"Zhao and colleagues show that STING activation is sensitive to membrane lipid peroxidation that occurs upon reactive oxygen species (ROS) production. The lipid hydroperoxidase glutathione peroxidase 4 (GPX4) reduces such oxidized lipids. Lack of GPX4 leads to STING protein carbonylation, which impedes its trafficking from the ER to the Golgi.",Mutian JiaDanhui QinWei Zhao,15 Jun 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-0699-0/MediaObjects/41590_2020_699_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-0699-0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Interferon-mediated reprogramming of membrane cholesterol to evade bacterial toxins,"Bensinger and colleagues show that interferons promote host cell resistance to bacterial cytolysins by decreasing cholesterol synthesis and promoting the esterification of cholesterol, which alters the availability of this pool of ‘free’ cholesterol needed for pore formation.",Quan D. ZhouXun ChiSteven J. Bensinger,08 Jun 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-0695-4/MediaObjects/41590_2020_695_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-0695-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alveolar macrophages are epigenetically altered after inflammation, leading to long-term lung immunoparalysis",Sepsis and physical trauma can increase the susceptibility of patients to pneumonia. Roquilly and colleagues demonstrate that sepsis results in durable impairment of alveolar phagocytic function that is dependent on the localized expression of the inhibitory receptor SIRPα.,Antoine RoquillyCedric JacquelineKarim Asehnoune,18 May 2020,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-020-0673-x/MediaObjects/41590_2020_673_Fig1_HTML.png,https://www.nature.com/articles/s41590-020-0673-x,0,0,0,0,0,0,0,0,0,0,0,0,0,0
